序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
135,接收,14:57:15.591.0,0x1c010100,数据帧,扩展帧,0x08,3a 81 00 00 0e bf 00 00 
136,接收,14:57:15.622.0,0x1c010200,数据帧,扩展帧,0x08,3b e9 00 28 0f 2c 00 00 
137,接收,14:57:16.589.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
138,接收,14:57:16.620.0,0x1c010200,数据帧,扩展帧,0x08,39 66 00 00 0f 8a 00 00 
139,接收,14:57:17.587.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
140,接收,14:57:17.619.0,0x1c010200,数据帧,扩展帧,0x08,3a cd 00 00 0f d6 00 00 
141,接收,14:57:18.586.0,0x1c010100,数据帧,扩展帧,0x08,3a 7e 00 00 0e b8 00 00 
142,接收,14:57:18.617.0,0x1c010200,数据帧,扩展帧,0x08,3a 11 00 28 0e f1 00 00 
143,接收,14:57:19.584.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
144,接收,14:57:19.631.0,0x1c010200,数据帧,扩展帧,0x08,38 1f 00 28 0f 39 00 00 
145,接收,14:57:20.583.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
146,接收,14:57:20.629.0,0x1c010200,数据帧,扩展帧,0x08,3c 08 00 00 0f 80 00 00 
147,接收,14:57:21.583.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
148,接收,14:57:21.630.0,0x1c010200,数据帧,扩展帧,0x08,38 8f 00 00 0f 4e 00 00 
149,接收,14:57:22.581.0,0x1c010100,数据帧,扩展帧,0x08,3a 8b 00 00 0e ac 00 00 
150,接收,14:57:22.628.0,0x1c010200,数据帧,扩展帧,0x08,3a 19 00 00 0f 9a 00 00 
151,接收,14:57:23.580.0,0x1c010100,数据帧,扩展帧,0x08,3a 7b 00 00 0e bc 00 00 
152,接收,14:57:23.627.0,0x1c010200,数据帧,扩展帧,0x08,3b b8 00 00 0f 9c 00 00 
